#TENSORS 174
#DATASEG 3957880832
model.layers.2.self_attn.o_proj.weight | BF16 | [2560,4096] | 2497663232 | 20971520 | 4943357042940400589
model.layers.2.self_attn.q_norm.weight | BF16 | [128] | 2518634752 | 256 | 6347182501943616249
model.layers.2.self_attn.q_proj.weight | BF16 | [4096,2560] | 2518635008 | 20971520 | 2152419720209917724
model.layers.2.self_attn.v_proj.weight | BF16 | [1024,2560] | 2539606528 | 5242880 | 2963106781532233653
model.layers.3.input_layernorm.weight | BF16 | [2560] | 2544849408 | 5120 | 13362239964361018871
model.layers.3.mlp.down_proj.weight | BF16 | [2560,9728] | 2544854528 | 49807360 | 10951882217422175735
model.layers.3.mlp.gate_proj.weight | BF16 | [9728,2560] | 2594661888 | 49807360 | 2662908128602623612
model.layers.3.mlp.up_proj.weight | BF16 | [9728,2560] | 2644469248 | 49807360 | 3965934160057901477
model.layers.3.post_attention_layernorm.weight | BF16 | [2560] | 2694276608 | 5120 | 13752214976420791028
model.layers.3.self_attn.k_norm.weight | BF16 | [128] | 2694281728 | 256 | 12862890850930150482
model.layers.3.self_attn.k_proj.weight | BF16 | [1024,2560] | 2694281984 | 5242880 | 10657393569909146231
model.layers.3.self_attn.o_proj.weight | BF16 | [2560,4096] | 2699524864 | 20971520 | 7279432943355154629
model.layers.3.self_attn.q_norm.weight | BF16 | [128] | 2720496384 | 256 | 5241870773783523322
model.layers.3.self_attn.q_proj.weight | BF16 | [4096,2560] | 2720496640 | 20971520 | 11025562971080700410
model.layers.3.self_attn.v_proj.weight | BF16 | [1024,2560] | 2741468160 | 5242880 | 18256491635683286370
model.layers.4.input_layernorm.weight | BF16 | [2560] | 2746711040 | 5120 | 14723355108537082144
model.layers.4.mlp.down_proj.weight | BF16 | [2560,9728] | 2746716160 | 49807360 | 17582481362083663363
model.layers.4.mlp.gate_proj.weight | BF16 | [9728,2560] | 2796523520 | 49807360 | 3447998066324694362
model.layers.4.mlp.up_proj.weight | BF16 | [9728,2560] | 2846330880 | 49807360 | 5684989139953828994
model.layers.4.post_attention_layernorm.weight | BF16 | [2560] | 2896138240 | 5120 | 14837727372164783718
model.layers.4.self_attn.k_norm.weight | BF16 | [128] | 2896143360 | 256 | 9283307263105717071
model.layers.4.self_attn.k_proj.weight | BF16 | [1024,2560] | 2896143616 | 5242880 | 12562070286469628058
