#TENSORS 219
#DATASEG 3987425280
model.layers.28.self_attn.q_norm.weight | BF16 | [128] | 2647804160 | 256 | 6651230931905490813
model.layers.28.self_attn.q_proj.weight | BF16 | [4096,2560] | 2647804416 | 20971520 | 954778916970666521
model.layers.28.self_attn.v_proj.weight | BF16 | [1024,2560] | 2668775936 | 5242880 | 672010177824887826
model.layers.29.input_layernorm.weight | BF16 | [2560] | 2674018816 | 5120 | 5120845532975898587
model.layers.29.mlp.down_proj.weight | BF16 | [2560,9728] | 2674023936 | 49807360 | 1832672781333003013
model.layers.29.mlp.gate_proj.weight | BF16 | [9728,2560] | 2723831296 | 49807360 | 6807506043845317599
model.layers.29.mlp.up_proj.weight | BF16 | [9728,2560] | 2773638656 | 49807360 | 9458932702782426391
model.layers.29.post_attention_layernorm.weight | BF16 | [2560] | 2823446016 | 5120 | 15252591162905563714
model.layers.29.self_attn.k_norm.weight | BF16 | [128] | 2823451136 | 256 | 14561477325745972300
model.layers.29.self_attn.k_proj.weight | BF16 | [1024,2560] | 2823451392 | 5242880 | 4050084660765244986
model.layers.29.self_attn.o_proj.weight | BF16 | [2560,4096] | 2828694272 | 20971520 | 18327935097167721391
model.layers.29.self_attn.q_norm.weight | BF16 | [128] | 2849665792 | 256 | 14401951444649431924
model.layers.29.self_attn.q_proj.weight | BF16 | [4096,2560] | 2849666048 | 20971520 | 17005420245444271601
model.layers.29.self_attn.v_proj.weight | BF16 | [1024,2560] | 2870637568 | 5242880 | 13403057846405779363
model.layers.30.input_layernorm.weight | BF16 | [2560] | 2875880448 | 5120 | 7643913746865995683
model.layers.30.mlp.down_proj.weight | BF16 | [2560,9728] | 2875885568 | 49807360 | 5279925275840778486
model.layers.30.mlp.gate_proj.weight | BF16 | [9728,2560] | 2925692928 | 49807360 | 16310948444597273120
model.layers.30.mlp.up_proj.weight | BF16 | [9728,2560] | 2975500288 | 49807360 | 4479436465096783656
model.layers.30.post_attention_layernorm.weight | BF16 | [2560] | 3025307648 | 5120 | 259301959547834472
model.layers.30.self_attn.k_norm.weight | BF16 | [128] | 3025312768 | 256 | 3143056382321852107
model.layers.30.self_attn.k_proj.weight | BF16 | [1024,2560] | 3025313024 | 5242880 | 2187963939426605058
model.layers.30.self_attn.o_proj.weight | BF16 | [2560,4096] | 3030555904 | 20971520 | 11762802055961961457
model.layers.30.self_attn.q_norm.weight | BF16 | [128] | 3051527424 | 256 | 2341067461271252269
model.layers.30.self_attn.q_proj.weight | BF16 | [4096,2560] | 3051527680 | 20971520 | 16946226088631227238
model.layers.30.self_attn.v_proj.weight | BF16 | [1024,2560] | 3072499200 | 5242880 | 1378819774769344076
model.layers.31.input_layernorm.weight | BF16 | [2560] | 3077742080 | 5120 | 586871154796392218
model.layers.31.mlp.down_proj.weight | BF16 | [2560,9728] | 3077747200 | 49807360 | 10381325794006885675
model.layers.31.mlp.gate_proj.weight | BF16 | [9728,2560] | 3127554560 | 49807360 | 1134749702239593292
model.layers.31.mlp.up_proj.weight | BF16 | [9728,2560] | 3177361920 | 49807360 | 8091763638884463924
