#TENSORS 423
#DATASEG 9973681280
layers.13.attention.norm_k.weight | BF16 | [128] | 2547495552 | 256 | 10822839939891334821
layers.13.attention.norm_q.weight | BF16 | [128] | 2547495808 | 256 | 2222976935221855001
layers.13.attention.to_k.weight | BF16 | [3840,3840] | 2547496064 | 29491200 | 17716121452963191927
layers.13.attention.to_out.0.weight | BF16 | [3840,3840] | 2576987264 | 29491200 | 13927031865757770332
layers.13.attention.to_q.weight | BF16 | [3840,3840] | 2606478464 | 29491200 | 9115053144101607193
layers.13.attention.to_v.weight | BF16 | [3840,3840] | 2635969664 | 29491200 | 13198819425685522640
layers.13.attention_norm1.weight | BF16 | [3840] | 2665460864 | 7680 | 6941598285985893545
layers.13.attention_norm2.weight | BF16 | [3840] | 2665468544 | 7680 | 10147848458752826512
layers.13.feed_forward.w1.weight | BF16 | [10240,3840] | 2665476224 | 78643200 | 7288586971869084693
layers.13.feed_forward.w2.weight | BF16 | [3840,10240] | 2744119424 | 78643200 | 16006693743355293133
layers.13.feed_forward.w3.weight | BF16 | [10240,3840] | 2822762624 | 78643200 | 12176326036240771443
layers.13.ffn_norm1.weight | BF16 | [3840] | 2901405824 | 7680 | 15574738610797944757
layers.13.ffn_norm2.weight | BF16 | [3840] | 2901413504 | 7680 | 8183967377590974570
layers.14.adaLN_modulation.0.bias | BF16 | [15360] | 2901421184 | 30720 | 17936714229565608350
layers.14.adaLN_modulation.0.weight | BF16 | [15360,256] | 2901451904 | 7864320 | 14581347888317356883
layers.14.attention.norm_k.weight | BF16 | [128] | 2909316224 | 256 | 4725931143317295865
layers.14.attention.norm_q.weight | BF16 | [128] | 2909316480 | 256 | 78706967423530514
layers.14.attention.to_k.weight | BF16 | [3840,3840] | 2909316736 | 29491200 | 9786426129584362422
layers.14.attention.to_out.0.weight | BF16 | [3840,3840] | 2938807936 | 29491200 | 17373460743031796666
layers.14.attention.to_q.weight | BF16 | [3840,3840] | 2968299136 | 29491200 | 17097726358038545759
layers.14.attention.to_v.weight | BF16 | [3840,3840] | 2997790336 | 29491200 | 9449336790191415815
layers.14.attention_norm1.weight | BF16 | [3840] | 3027281536 | 7680 | 13036897587119642405
layers.14.attention_norm2.weight | BF16 | [3840] | 3027289216 | 7680 | 9759678420455532208
layers.14.feed_forward.w1.weight | BF16 | [10240,3840] | 3027296896 | 78643200 | 5264067066136531079
layers.14.feed_forward.w2.weight | BF16 | [3840,10240] | 3105940096 | 78643200 | 16569088108863632676
layers.14.feed_forward.w3.weight | BF16 | [10240,3840] | 3184583296 | 78643200 | 6861222533242950982
layers.14.ffn_norm1.weight | BF16 | [3840] | 3263226496 | 7680 | 8308046998787823935
layers.14.ffn_norm2.weight | BF16 | [3840] | 3263234176 | 7680 | 14737744257121009277
layers.15.adaLN_modulation.0.bias | BF16 | [15360] | 3263241856 | 30720 | 9244526608285749901
layers.15.adaLN_modulation.0.weight | BF16 | [15360,256] | 3263272576 | 7864320 | 137749381179770917
layers.15.attention.norm_k.weight | BF16 | [128] | 3271136896 | 256 | 352925854011693565
layers.15.attention.norm_q.weight | BF16 | [128] | 3271137152 | 256 | 16112903826206451875
layers.15.attention.to_k.weight | BF16 | [3840,3840] | 3271137408 | 29491200 | 15235965216753712390
layers.15.attention.to_out.0.weight | BF16 | [3840,3840] | 3300628608 | 29491200 | 17460213849033440749
layers.15.attention.to_q.weight | BF16 | [3840,3840] | 3330119808 | 29491200 | 8537433211726280506
layers.15.attention.to_v.weight | BF16 | [3840,3840] | 3359611008 | 29491200 | 10914133792922802474
layers.15.attention_norm1.weight | BF16 | [3840] | 3389102208 | 7680 | 9979438371798787581
layers.15.attention_norm2.weight | BF16 | [3840] | 3389109888 | 7680 | 8370858768636938574
layers.15.feed_forward.w1.weight | BF16 | [10240,3840] | 3389117568 | 78643200 | 15429307940950135180
layers.15.feed_forward.w2.weight | BF16 | [3840,10240] | 3467760768 | 78643200 | 14740070820565654383
layers.15.feed_forward.w3.weight | BF16 | [10240,3840] | 3546403968 | 78643200 | 17095038302659562093
layers.15.ffn_norm1.weight | BF16 | [3840] | 3625047168 | 7680 | 2610302649027784626
layers.15.ffn_norm2.weight | BF16 | [3840] | 3625054848 | 7680 | 18112172367773587558
layers.16.adaLN_modulation.0.bias | BF16 | [15360] | 3625062528 | 30720 | 5855712732523797063
layers.16.adaLN_modulation.0.weight | BF16 | [15360,256] | 3625093248 | 7864320 | 4117979040080154846
layers.16.attention.norm_k.weight | BF16 | [128] | 3632957568 | 256 | 9349402893251565694
layers.16.attention.norm_q.weight | BF16 | [128] | 3632957824 | 256 | 14092336374213300889
layers.16.attention.to_k.weight | BF16 | [3840,3840] | 3632958080 | 29491200 | 15501859172366695475
layers.16.attention.to_out.0.weight | BF16 | [3840,3840] | 3662449280 | 29491200 | 10483450565374864221
layers.16.attention.to_q.weight | BF16 | [3840,3840] | 3691940480 | 29491200 | 14964924337238146637
layers.16.attention.to_v.weight | BF16 | [3840,3840] | 3721431680 | 29491200 | 16976637643156608344
layers.16.attention_norm1.weight | BF16 | [3840] | 3750922880 | 7680 | 3132298113708630711
layers.16.attention_norm2.weight | BF16 | [3840] | 3750930560 | 7680 | 1935557874612054844
layers.16.feed_forward.w1.weight | BF16 | [10240,3840] | 3750938240 | 78643200 | 5776205224713620848
layers.16.feed_forward.w2.weight | BF16 | [3840,10240] | 3829581440 | 78643200 | 13924722535512599381
layers.16.feed_forward.w3.weight | BF16 | [10240,3840] | 3908224640 | 78643200 | 14776661536605686501
layers.16.ffn_norm1.weight | BF16 | [3840] | 3986867840 | 7680 | 10530977596231419128
layers.16.ffn_norm2.weight | BF16 | [3840] | 3986875520 | 7680 | 17920058740138053442
layers.17.adaLN_modulation.0.bias | BF16 | [15360] | 3986883200 | 30720 | 8113202603608644045
