#TENSORS 244
#DATASEG 167639366
decoder.up_blocks.1.resnets.2.norm2.bias | BF16 | [512] | 82523398 | 1024 | 9773644511015654120
decoder.up_blocks.1.resnets.2.norm2.weight | BF16 | [512] | 82524422 | 1024 | 7565907182626674606
decoder.up_blocks.1.upsamplers.0.conv.bias | BF16 | [512] | 82525446 | 1024 | 2691881325706022361
decoder.up_blocks.1.upsamplers.0.conv.weight | BF16 | [512,512,3,3] | 82526470 | 4718592 | 7889878227383630011
decoder.up_blocks.2.resnets.0.conv1.bias | BF16 | [256] | 87245062 | 512 | 8747808771822046712
decoder.up_blocks.2.resnets.0.conv1.weight | BF16 | [256,512,3,3] | 87245574 | 2359296 | 2845540882863680003
decoder.up_blocks.2.resnets.0.conv2.bias | BF16 | [256] | 89604870 | 512 | 18266407919596599133
decoder.up_blocks.2.resnets.0.conv2.weight | BF16 | [256,256,3,3] | 89605382 | 1179648 | 16397367214717425258
decoder.up_blocks.2.resnets.0.conv_shortcut.bias | BF16 | [256] | 90785030 | 512 | 14284632071494311425
decoder.up_blocks.2.resnets.0.conv_shortcut.weight | BF16 | [256,512,1,1] | 90785542 | 262144 | 9550479054728610631
decoder.up_blocks.2.resnets.0.norm1.bias | BF16 | [512] | 91047686 | 1024 | 8829450582802561979
decoder.up_blocks.2.resnets.0.norm1.weight | BF16 | [512] | 91048710 | 1024 | 16837148994771062838
decoder.up_blocks.2.resnets.0.norm2.bias | BF16 | [256] | 91049734 | 512 | 5679839634417134353
decoder.up_blocks.2.resnets.0.norm2.weight | BF16 | [256] | 91050246 | 512 | 14026819209167128011
decoder.up_blocks.2.resnets.1.conv1.bias | BF16 | [256] | 91050758 | 512 | 6557338493379236180
decoder.up_blocks.2.resnets.1.conv1.weight | BF16 | [256,256,3,3] | 91051270 | 1179648 | 1360891886693117330
decoder.up_blocks.2.resnets.1.conv2.bias | BF16 | [256] | 92230918 | 512 | 5397401201034179724
decoder.up_blocks.2.resnets.1.conv2.weight | BF16 | [256,256,3,3] | 92231430 | 1179648 | 11681028059119005549
decoder.up_blocks.2.resnets.1.norm1.bias | BF16 | [256] | 93411078 | 512 | 13855402407887183957
decoder.up_blocks.2.resnets.1.norm1.weight | BF16 | [256] | 93411590 | 512 | 14576998727537180340
decoder.up_blocks.2.resnets.1.norm2.bias | BF16 | [256] | 93412102 | 512 | 10304521350031289049
decoder.up_blocks.2.resnets.1.norm2.weight | BF16 | [256] | 93412614 | 512 | 11903644735028075052
decoder.up_blocks.2.resnets.2.conv1.bias | BF16 | [256] | 93413126 | 512 | 7857807939711162229
decoder.up_blocks.2.resnets.2.conv1.weight | BF16 | [256,256,3,3] | 93413638 | 1179648 | 14739025116003894389
decoder.up_blocks.2.resnets.2.conv2.bias | BF16 | [256] | 94593286 | 512 | 14786766158738735135
decoder.up_blocks.2.resnets.2.conv2.weight | BF16 | [256,256,3,3] | 94593798 | 1179648 | 3975968892743033519
decoder.up_blocks.2.resnets.2.norm1.bias | BF16 | [256] | 95773446 | 512 | 16996164032681354858
decoder.up_blocks.2.resnets.2.norm1.weight | BF16 | [256] | 95773958 | 512 | 4488847981516383146
decoder.up_blocks.2.resnets.2.norm2.bias | BF16 | [256] | 95774470 | 512 | 15879708946208492632
decoder.up_blocks.2.resnets.2.norm2.weight | BF16 | [256] | 95774982 | 512 | 6021410961635735012
decoder.up_blocks.2.upsamplers.0.conv.bias | BF16 | [256] | 95775494 | 512 | 11500790194386045633
decoder.up_blocks.2.upsamplers.0.conv.weight | BF16 | [256,256,3,3] | 95776006 | 1179648 | 3459834245082702541
decoder.up_blocks.3.resnets.0.conv1.bias | BF16 | [128] | 96955654 | 256 | 13089467414340671841
decoder.up_blocks.3.resnets.0.conv1.weight | BF16 | [128,256,3,3] | 96955910 | 589824 | 9635575165959814616
decoder.up_blocks.3.resnets.0.conv2.bias | BF16 | [128] | 97545734 | 256 | 7586334385990733259
decoder.up_blocks.3.resnets.0.conv2.weight | BF16 | [128,128,3,3] | 97545990 | 294912 | 17478319837042792277
decoder.up_blocks.3.resnets.0.conv_shortcut.bias | BF16 | [128] | 97840902 | 256 | 16391952217646024316
decoder.up_blocks.3.resnets.0.conv_shortcut.weight | BF16 | [128,256,1,1] | 97841158 | 65536 | 4034361486022514845
decoder.up_blocks.3.resnets.0.norm1.bias | BF16 | [256] | 97906694 | 512 | 3618865603023646892
decoder.up_blocks.3.resnets.0.norm1.weight | BF16 | [256] | 97907206 | 512 | 940258558374228488
decoder.up_blocks.3.resnets.0.norm2.bias | BF16 | [128] | 97907718 | 256 | 4040149850980330055
decoder.up_blocks.3.resnets.0.norm2.weight | BF16 | [128] | 97907974 | 256 | 7277422706998500680
decoder.up_blocks.3.resnets.1.conv1.bias | BF16 | [128] | 97908230 | 256 | 14586043828429753692
